Date,minor,Open,High,Low,Close,Volume
2017-01-03,AAPL,115.8,116.33,114.76,116.15,28781865.0
2017-01-03,AIG,65.95,66.01,64.69,65.12,7321916.0
2017-01-03,AMZN,757.92,758.76,747.7,753.67,3521066.0
2017-01-03,AXP,74.89,75.75,74.74,75.35,5853881.0
2017-01-03,BA,156.3,157.14,155.21,156.97,3426113.0
2017-01-03,BAC,22.6,22.68,22.2,22.53,99298080.0
2017-01-03,CAJ,28.18,28.44,28.15,28.42,562414.0
2017-01-03,CAT,94.0,95.19,93.25,93.99,5054885.0
2017-01-03,CL,65.56,65.65,65.1,65.54,3039523.0
2017-01-03,CMCSA,34.84,34.94,34.12,34.52,23670334.0
2017-01-03,COP,50.82,51.61,49.92,50.61,7032586.0
2017-01-03,CSCO,30.37,30.56,30.21,30.54,22370578.0
2017-01-03,CVS,79.58,80.45,78.97,80.35,5922807.0
2017-01-03,CVX,118.38,119.0,116.59,117.85,7404774.0
2017-01-03,DD,73.47,74.1,72.68,73.61,2631310.0
2017-01-03,F,12.2,12.6,12.13,12.59,40510821.0
2017-01-03,GD,174.39,176.72,174.26,175.45,1321857.0
2017-01-03,GE,31.67,31.84,31.4,31.69,32149537.0
2017-01-03,GS,242.7,244.97,237.97,241.57,4384246.0
2017-01-03,GSK,38.55,38.87,38.45,38.84,3869728.0
2017-01-03,HD,135.1,135.51,133.59,134.31,5300410.0
2017-01-03,HMC,29.48,29.61,29.42,29.61,864545.0
2017-01-03,HPQ,14.95,15.14,14.62,14.85,12502230.0
2017-01-03,IBM,167.0,167.87,166.01,167.19,2934299.0
2017-01-03,JPM,87.34,87.76,85.98,87.23,20550714.0
2017-01-03,K,73.71,73.71,72.83,73.37,1700599.0
2017-01-03,KMB,114.16,114.91,113.71,114.56,1646283.0
2017-01-03,KO,41.5,41.81,41.28,41.8,14711049.0
2017-01-03,MAR,83.35,83.85,81.71,82.5,3277092.0
2017-01-03,MCD,121.86,122.0,118.96,119.62,5123752.0
2017-01-03,MDLZ,44.71,44.88,44.42,44.85,6169941.0
2017-01-03,MMM,178.83,180.0,177.22,178.05,2510055.0
2017-01-03,MSFT,62.79,62.84,62.12,62.58,20694101.0
2017-01-03,MTU,6.16,6.25,6.16,6.23,1038099.0
2017-01-03,NAV,31.8,32.63,31.18,31.84,630099.0
2017-01-03,NOC,234.1,235.24,233.14,234.89,1179032.0
2017-01-03,NVS,72.89,73.1,72.46,72.83,3368875.0
2017-01-03,PEP,104.94,105.09,104.21,104.65,3741206.0
2017-01-03,PFE,32.7,33.0,32.59,33.0,22193434.0
2017-01-03,PG,83.88,84.39,83.5,84.2,8792706.0
2017-01-03,R,75.03,76.16,73.88,75.35,808812.0
2017-01-03,RTN,143.39,145.95,142.76,145.22,2516905.0
2017-01-03,SAP,86.25,86.44,85.92,86.3,803732.0
2017-01-03,SNE,28.1,28.32,28.04,28.29,895436.0
2017-01-03,SNY,40.56,41.12,40.54,41.02,2701438.0
2017-01-03,TM,118.17,118.67,117.83,118.55,203983.0
2017-01-03,TOT,51.06,51.24,50.63,50.87,2390155.0
2017-01-03,TWX,96.9,97.19,96.13,96.76,4093903.0
2017-01-03,TXN,73.53,74.31,73.05,73.58,4847913.0
2017-01-03,UN,40.43,40.65,40.35,40.61,2585893.0
2017-01-03,VLO,69.55,71.4,68.84,70.42,4425039.0
2017-01-03,WBA,83.1,83.38,82.3,82.96,4943270.0
2017-01-03,WFC,55.67,56.35,55.46,56.0,22063790.0
2017-01-03,WMT,69.24,69.24,68.05,68.66,10473162.0
2017-01-03,XOM,90.94,91.34,90.15,90.89,10360622.0
2017-01-03,XRX,6.53,7.0,6.46,6.89,64447557.0
2017-01-03,YHOO,39.11,39.18,38.64,38.9,6084699.0
